# SignalP-5.0	Organism: euk	Timestamp: 20260406234122
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A5I808	OTHER	0.000962	0.999038	
A5I809	OTHER	0.000582	0.999418	
A5I810	OTHER	0.000372	0.999628	
A5I811	OTHER	0.001296	0.998704	
A5I812	OTHER	0.004041	0.995959	
A5I813	OTHER	0.000181	0.999819	
A5I823	OTHER	0.000601	0.999399	
A5I824	OTHER	0.001107	0.998893	
A5I825	OTHER	0.000198	0.999802	
A5I826	OTHER	0.000700	0.999300	
A5I827	OTHER	0.000454	0.999546	
A5I828	OTHER	0.001589	0.998411	
A5I829	OTHER	0.003075	0.996925	
A5I830	OTHER	0.001302	0.998698	
A5I831	OTHER	0.000293	0.999707	
A5I832	OTHER	0.000616	0.999384	
A5I833	OTHER	0.000726	0.999274	
A5I834	OTHER	0.013432	0.986568	
A5I835	OTHER	0.000837	0.999163	
A5I836	OTHER	0.061909	0.938091	
A5I837	OTHER	0.000292	0.999708	
A5I838	OTHER	0.000166	0.999834	
A5I839	OTHER	0.023114	0.976886	
