ID	Evidences length	Evidences list	Complete evidences
A5I0N8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0P0	1	PHOBIUS_TM	PHOBIUS_TM
A5I0P1	1	PHOBIUS_TM	PHOBIUS_TM
A5I0P3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0P4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0P5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Q2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Q4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Q7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0R3	1	GPI	GPI
A5I0S7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0T4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0T5	1	PHOBIUS_TM	PHOBIUS_TM
A5I0T9	1	PHOBIUS_TM	PHOBIUS_TM
A5I0U2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0U3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0U6	1	PHOBIUS_TM	PHOBIUS_TM
A5I0U8	1	PHOBIUS_TM	PHOBIUS_TM
A5I0V0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0V1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0V6	1	PHOBIUS_TM	PHOBIUS_TM
A5I0V7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I0X2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Y3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Y4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Y8	1	PHOBIUS_TM	PHOBIUS_TM
A5I0Z1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Z3	1	PHOBIUS_TM	PHOBIUS_TM
A5I0Z5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Z7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I0Z8	1	PHOBIUS_TM	PHOBIUS_TM
A5I103	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I105	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I107	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I111	1	PHOBIUS_TM	PHOBIUS_TM
A5I115	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I116	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I119	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I125	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I127	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I128	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I132	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I136	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I144	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I155	1	PHOBIUS_TM	PHOBIUS_TM
A5I158	1	PHOBIUS_TM	PHOBIUS_TM
A5I159	1	PHOBIUS_TM	PHOBIUS_TM
A5I160	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I163	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I164	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I169	1	PHOBIUS_TM	PHOBIUS_TM
A5I176	1	PHOBIUS_TM	PHOBIUS_TM
A5I179	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I181	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I182	1	PHOBIUS_TM	PHOBIUS_TM
A5I183	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I188	1	PHOBIUS_TM	PHOBIUS_TM
A5I1B0	1	PHOBIUS_TM	PHOBIUS_TM
A5I1B1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1B2	1	PHOBIUS_TM	PHOBIUS_TM
A5I1B4	1	PHOBIUS_TM	PHOBIUS_TM
A5I1B5	1	PHOBIUS_TM	PHOBIUS_TM
A5I1B6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1C0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1C1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1D1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1D2	1	PHOBIUS_TM	PHOBIUS_TM
A5I1D3	1	PHOBIUS_TM	PHOBIUS_TM
A5I1D4	1	PHOBIUS_TM	PHOBIUS_TM
A5I1D5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1D6	1	PHOBIUS_TM	PHOBIUS_TM
A5I1E2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1E3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1E4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1E8	1	PHOBIUS_TM	PHOBIUS_TM
A5I1F0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1F1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1F2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1F7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I1G9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1H1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1H3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1I4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1I5	1	PHOBIUS_TM	PHOBIUS_TM
A5I1I6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1I8	1	PHOBIUS_TM	PHOBIUS_TM
A5I1J0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1J1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1J5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1J8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1K2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1K8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1L3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1L4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1L5	1	PHOBIUS_TM	PHOBIUS_TM
A5I1M0	1	PHOBIUS_TM	PHOBIUS_TM
A5I1M4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1M9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1N3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1N8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1P1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1P4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1P8	1	PHOBIUS_TM	PHOBIUS_TM
A5I1Q0	1	PHOBIUS_TM	PHOBIUS_TM
A5I1Q3	1	PHOBIUS_TM	PHOBIUS_TM
A5I1Q4	1	PHOBIUS_TM	PHOBIUS_TM
A5I1Q8	1	PHOBIUS_TM	PHOBIUS_TM
A5I1R4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1R5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1S9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1T0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1T4	1	PHOBIUS_TM	PHOBIUS_TM
A5I1U2	1	PHOBIUS_TM	PHOBIUS_TM
A5I1U3	1	PHOBIUS_TM	PHOBIUS_TM
A5I1U6	1	PHOBIUS_TM	PHOBIUS_TM
A5I1W5	1	PHOBIUS_TM	PHOBIUS_TM
A5I1W8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1X8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1Y5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1Z3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1Z4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1Z7	1	PHOBIUS_TM	PHOBIUS_TM
A5I1Z9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I200	1	PHOBIUS_TM	PHOBIUS_TM
A5I201	1	PHOBIUS_TM	PHOBIUS_TM
A5I205	1	PHOBIUS_TM	PHOBIUS_TM
A5I207	1	PHOBIUS_TM	PHOBIUS_TM
A5I214	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I215	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I216	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I234	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I249	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I251	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I253	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I255	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I257	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I258	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I262	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I263	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I272	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I273	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I277	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I279	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I285	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I289	1	PHOBIUS_TM	PHOBIUS_TM
A5I296	1	PHOBIUS_TM	PHOBIUS_TM
A5I2C4	1	PHOBIUS_TM	PHOBIUS_TM
A5I2D0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2D1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2D4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2E4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2E5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2E6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2F0	1	PHOBIUS_TM	PHOBIUS_TM
A5I2I8	1	PHOBIUS_TM	PHOBIUS_TM
A5I2J0	1	PHOBIUS_TM	PHOBIUS_TM
A5I2J6	1	PHOBIUS_TM	PHOBIUS_TM
A5I2K7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2L8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2L9	1	PHOBIUS_TM	PHOBIUS_TM
A5I2M0	1	PHOBIUS_TM	PHOBIUS_TM
A5I2M5	1	PHOBIUS_TM	PHOBIUS_TM
A5I2N3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2N6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2P5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2Q5	1	PHOBIUS_TM	PHOBIUS_TM
A5I2R0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2R4	1	PHOBIUS_TM	PHOBIUS_TM
A5I2T4	1	PHOBIUS_TM	PHOBIUS_TM
A5I2T8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2U0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2U1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2U4	1	PHOBIUS_TM	PHOBIUS_TM
A5I2U5	1	PHOBIUS_TM	PHOBIUS_TM
A5I2U6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2V1	1	PHOBIUS_TM	PHOBIUS_TM
A5I2W5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2W6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2W7	1	PHOBIUS_TM	PHOBIUS_TM
A5I2W8	1	PHOBIUS_TM	PHOBIUS_TM
A5I2X3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2X5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2X7	1	PHOBIUS_TM	PHOBIUS_TM
A5I2Y4	1	PHOBIUS_TM	PHOBIUS_TM
A5I2Y9	1	PHOBIUS_TM	PHOBIUS_TM
A5I2Z0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2Z2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I2Z5	1	PHOBIUS_TM	PHOBIUS_TM
A5I306	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I313	1	PHOBIUS_TM	PHOBIUS_TM
A5I314	1	PHOBIUS_TM	PHOBIUS_TM
A5I315	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I316	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I317	1	PHOBIUS_TM	PHOBIUS_TM
A5I318	1	PHOBIUS_TM	PHOBIUS_TM
A5I324	1	PHOBIUS_TM	PHOBIUS_TM
A5I325	1	PHOBIUS_TM	PHOBIUS_TM
A5I328	1	PHOBIUS_TM	PHOBIUS_TM
A5I330	1	PHOBIUS_TM	PHOBIUS_TM
A5I331	1	PHOBIUS_TM	PHOBIUS_TM
A5I332	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I334	1	PHOBIUS_TM	PHOBIUS_TM
A5I335	1	PHOBIUS_TM	PHOBIUS_TM
A5I343	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I345	1	PHOBIUS_TM	PHOBIUS_TM
A5I352	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I353	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I361	1	PHOBIUS_TM	PHOBIUS_TM
A5I370	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I374	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I376	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I377	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I378	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I387	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I390	1	PHOBIUS_TM	PHOBIUS_TM
A5I395	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I397	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I399	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3A0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3A1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3A3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3A9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3B1	1	PHOBIUS_TM	PHOBIUS_TM
A5I3B6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3C5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3D1	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I3D3	1	PHOBIUS_TM	PHOBIUS_TM
A5I3D8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3E1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3F2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3F3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3F6	1	PHOBIUS_TM	PHOBIUS_TM
A5I3F7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3G1	1	PHOBIUS_TM	PHOBIUS_TM
A5I3G7	1	PHOBIUS_TM	PHOBIUS_TM
A5I3H9	1	SL	SL
A5I3I3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3I5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3J4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3J9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3K0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3K8	1	PHOBIUS_TM	PHOBIUS_TM
A5I3P5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3Q5	1	PHOBIUS_TM	PHOBIUS_TM
A5I3Q6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3Q9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3R0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3R2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3R4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3R5	1	PHOBIUS_TM	PHOBIUS_TM
A5I3R8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3S6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3S7	1	PHOBIUS_TM	PHOBIUS_TM
A5I3S9	1	PHOBIUS_TM	PHOBIUS_TM
A5I3T0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3T3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3T9	1	PHOBIUS_TM	PHOBIUS_TM
A5I3U8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3V1	1	PHOBIUS_TM	PHOBIUS_TM
A5I3V2	1	PHOBIUS_TM	PHOBIUS_TM
A5I3V8	1	PHOBIUS_TM	PHOBIUS_TM
A5I3W0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3W1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3W2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3W4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3X8	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I3Y2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I3Z7	1	PHOBIUS_TM	PHOBIUS_TM
A5I3Z8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I400	1	PHOBIUS_TM	PHOBIUS_TM
A5I402	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I407	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I411	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I415	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I417	1	PHOBIUS_TM	PHOBIUS_TM
A5I420	1	PHOBIUS_TM	PHOBIUS_TM
A5I422	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I428	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I429	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I431	1	PHOBIUS_TM	PHOBIUS_TM
A5I433	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I447	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I448	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I450	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I451	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I464	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I465	1	PHOBIUS_TM	PHOBIUS_TM
A5I466	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I467	1	PHOBIUS_TM	PHOBIUS_TM
A5I469	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I474	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I477	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I478	1	PHOBIUS_TM	PHOBIUS_TM
A5I484	1	PHOBIUS_TM	PHOBIUS_TM
A5I485	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I497	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4A9	1	PHOBIUS_TM	PHOBIUS_TM
A5I4C8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4F4	1	PHOBIUS_TM	PHOBIUS_TM
A5I4H1	1	PHOBIUS_TM	PHOBIUS_TM
A5I4H4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4H5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4H6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4K3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4L1	1	PHOBIUS_TM	PHOBIUS_TM
A5I4N9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4P5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4Q0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4Q1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4R2	1	PHOBIUS_TM	PHOBIUS_TM
A5I4R3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4R9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4S8	1	PHOBIUS_TM	PHOBIUS_TM
A5I4T6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4V4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4W8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I4X7	1	PHOBIUS_TM	PHOBIUS_TM
A5I4Y4	1	PHOBIUS_TM	PHOBIUS_TM
A5I4Z6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I503	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I507	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I508	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I510	1	PHOBIUS_TM	PHOBIUS_TM
A5I515	1	PHOBIUS_TM	PHOBIUS_TM
A5I516	1	PHOBIUS_TM	PHOBIUS_TM
A5I527	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I528	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I534	1	PHOBIUS_TM	PHOBIUS_TM
A5I541	1	PHOBIUS_TM	PHOBIUS_TM
A5I542	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I552	1	PHOBIUS_TM	PHOBIUS_TM
A5I567	1	PHOBIUS_TM	PHOBIUS_TM
A5I585	1	PHOBIUS_TM	PHOBIUS_TM
A5I586	1	PHOBIUS_TM	PHOBIUS_TM
A5I5A9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5B1	1	PHOBIUS_TM	PHOBIUS_TM
A5I5B2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5B6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5C0	1	PHOBIUS_TM	PHOBIUS_TM
A5I5C3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5D8	1	PHOBIUS_TM	PHOBIUS_TM
A5I5I8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5K2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5K7	1	PHOBIUS_TM	PHOBIUS_TM
A5I5K8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5L0	1	PHOBIUS_TM	PHOBIUS_TM
A5I5L1	1	PHOBIUS_TM	PHOBIUS_TM
A5I5L5	1	PHOBIUS_TM	PHOBIUS_TM
A5I5M1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5M3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5M4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5M7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5I5M9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5N1	1	PHOBIUS_TM	PHOBIUS_TM
A5I5N2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5N3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5N5	1	PHOBIUS_TM	PHOBIUS_TM
A5I5P0	1	PHOBIUS_TM	PHOBIUS_TM
A5I5P3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5P7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5P8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5Q2	1	PHOBIUS_TM	PHOBIUS_TM
A5I5Q8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5R1	1	PHOBIUS_TM	PHOBIUS_TM
A5I5R4	1	PHOBIUS_TM	PHOBIUS_TM
A5I5T0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5T9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5U6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5U7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5U8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5X1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5X9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5Y2	1	PHOBIUS_TM	PHOBIUS_TM
A5I5Y4	1	PHOBIUS_TM	PHOBIUS_TM
A5I5Y5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5Y6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5Z3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5Z8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I5Z9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I602	1	PHOBIUS_TM	PHOBIUS_TM
A5I609	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I611	1	PHOBIUS_TM	PHOBIUS_TM
A5I617	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I624	1	PHOBIUS_TM	PHOBIUS_TM
A5I630	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I631	1	PHOBIUS_TM	PHOBIUS_TM
A5I645	1	PHOBIUS_TM	PHOBIUS_TM
A5I646	1	PHOBIUS_TM	PHOBIUS_TM
A5I650	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I652	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I653	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I654	1	PHOBIUS_TM	PHOBIUS_TM
A5I658	1	PHOBIUS_TM	PHOBIUS_TM
A5I662	1	PHOBIUS_TM	PHOBIUS_TM
A5I674	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I680	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I685	1	PHOBIUS_TM	PHOBIUS_TM
A5I686	1	PHOBIUS_TM	PHOBIUS_TM
A5I688	1	GPI	GPI
A5I691	1	PHOBIUS_TM	PHOBIUS_TM
A5I696	1	PHOBIUS_TM	PHOBIUS_TM
A5I697	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6B2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6C7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6C8	1	PHOBIUS_TM	PHOBIUS_TM
A5I6D4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6E7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6E8	1	PHOBIUS_TM	PHOBIUS_TM
A5I6F3	1	PHOBIUS_TM	PHOBIUS_TM
